# BEGIN cycle heat=3.500V/300ms cool=0.500V/3000ms x10
t_ms,phase,target_v,wiper,vldo_v,isns_v,current_a
4,HEAT,3.500,96,3.4855,2.5638,0.7769
14,HEAT,3.500,96,3.4848,2.5596,0.7756
24,HEAT,3.500,96,3.4855,2.5599,0.7757
34,HEAT,3.500,96,3.4848,2.5574,0.7750
44,HEAT,3.500,96,3.4842,2.5565,0.7747
54,HEAT,3.500,96,3.4830,2.5556,0.7744
64,HEAT,3.500,96,3.4812,2.5562,0.7746
74,HEAT,3.500,96,3.4855,2.5574,0.7750
84,HEAT,3.500,96,3.4848,2.5538,0.7739
95,HEAT,3.500,96,3.4855,2.5541,0.7740
104,HEAT,3.500,96,3.4848,2.5535,0.7738
114,HEAT,3.500,96,3.4855,2.5541,0.7740
124,HEAT,3.500,96,3.4861,2.5528,0.7736
134,HEAT,3.500,96,3.4855,2.5528,0.7736
144,HEAT,3.500,96,3.4812,2.5550,0.7742
154,HEAT,3.500,96,3.4848,2.5547,0.7741
164,HEAT,3.500,96,3.4848,2.5553,0.7743
174,HEAT,3.500,96,3.4855,2.5574,0.7750
184,HEAT,3.500,96,3.4848,2.5580,0.7752
194,HEAT,3.500,96,3.4842,2.5605,0.7759
204,HEAT,3.500,96,3.4848,2.5617,0.7763
214,HEAT,3.500,96,3.4867,2.5635,0.7768
224,HEAT,3.500,96,3.4830,2.5669,0.7778
234,HEAT,3.500,96,3.4830,2.5712,0.7791
244,HEAT,3.500,96,3.4848,2.5742,0.7801
254,HEAT,3.500,96,3.4842,2.5791,0.7816
265,HEAT,3.500,96,3.4824,2.5861,0.7837
274,HEAT,3.500,96,3.4824,2.5929,0.7857
284,HEAT,3.500,96,3.4806,2.6017,0.7884
294,HEAT,3.500,96,3.4824,2.6130,0.7918
306,COOL,0.500,14,0.5419,0.3776,0.1144
314,COOL,0.500,14,0.4967,0.3770,0.1142
324,COOL,0.500,14,0.4961,0.3766,0.1141
334,COOL,0.500,14,0.4979,0.3766,0.1141
344,COOL,0.500,14,0.4973,0.3760,0.1140
354,COOL,0.500,14,0.4961,0.3763,0.1140
364,COOL,0.500,14,0.4961,0.3763,0.1140
374,COOL,0.500,14,0.4967,0.3757,0.1139
384,COOL,0.500,14,0.4973,0.3760,0.1140
395,COOL,0.500,14,0.4961,0.3742,0.1134
404,COOL,0.500,14,0.4943,0.3760,0.1140
414,COOL,0.500,14,0.4936,0.3742,0.1134
424,COOL,0.500,14,0.4961,0.3754,0.1138
435,COOL,0.500,14,0.4967,0.3748,0.1136
444,COOL,0.500,14,0.4961,0.3748,0.1136
454,COOL,0.500,14,0.4973,0.3760,0.1140
464,COOL,0.500,14,0.4949,0.3745,0.1135
474,COOL,0.500,14,0.4961,0.3748,0.1136
484,COOL,0.500,14,0.4955,0.3745,0.1135
494,COOL,0.500,14,0.4961,0.3736,0.1132
504,COOL,0.500,14,0.4955,0.3742,0.1134
514,COOL,0.500,14,0.4961,0.3748,0.1136
524,COOL,0.500,14,0.4955,0.3739,0.1133
534,COOL,0.500,14,0.4973,0.3727,0.1129
544,COOL,0.500,14,0.4961,0.3730,0.1130
554,COOL,0.500,14,0.4967,0.3736,0.1132
565,COOL,0.500,14,0.4949,0.3730,0.1130
574,COOL,0.500,14,0.4961,0.3733,0.1131
584,COOL,0.500,14,0.4943,0.3724,0.1128
594,COOL,0.500,14,0.4979,0.3736,0.1132
605,COOL,0.500,14,0.4961,0.3718,0.1127
614,COOL,0.500,14,0.4961,0.3733,0.1131
624,COOL,0.500,14,0.4943,0.3718,0.1127
634,COOL,0.500,14,0.4967,0.3721,0.1127
644,COOL,0.500,14,0.4961,0.3718,0.1127
654,COOL,0.500,14,0.4973,0.3721,0.1127
