# BEGIN cycle heat=3.500V/100ms cool=0.500V/3000ms x10
t_ms,phase,target_v,wiper,vldo_v,isns_v,current_a
5,HEAT,3.500,96,3.5093,2.5773,0.7810
14,HEAT,3.500,96,3.5117,2.5715,0.7792
24,HEAT,3.500,96,3.5062,2.5712,0.7791
34,HEAT,3.500,96,3.5068,2.5715,0.7792
44,HEAT,3.500,96,3.5081,2.5693,0.7786
54,HEAT,3.500,96,3.5068,2.5684,0.7783
64,HEAT,3.500,96,3.5062,2.5675,0.7780
74,HEAT,3.500,96,3.5044,2.5672,0.7779
84,HEAT,3.500,96,3.5050,2.5678,0.7781
95,HEAT,3.500,96,3.5038,2.5678,0.7781
104,HEAT,3.500,96,3.5056,2.5660,0.7776
111,COOL,0.500,14,0.5450,0.3681,0.1115
120,COOL,0.500,14,0.4979,0.3684,0.1116
130,COOL,0.500,14,0.4991,0.3684,0.1116
140,COOL,0.500,14,0.4979,0.3672,0.1113
150,COOL,0.500,14,0.4979,0.3681,0.1115
160,COOL,0.500,14,0.4985,0.3669,0.1112
170,COOL,0.500,14,0.4985,0.3672,0.1113
181,COOL,0.500,14,0.4985,0.3678,0.1115
190,COOL,0.500,14,0.4979,0.3690,0.1118
200,COOL,0.500,14,0.4973,0.3684,0.1116
210,COOL,0.500,14,0.4979,0.3687,0.1117
221,COOL,0.500,14,0.4985,0.3675,0.1114
230,COOL,0.500,14,0.4985,0.3690,0.1118
240,COOL,0.500,14,0.4985,0.3690,0.1118
250,COOL,0.500,14,0.4979,0.3666,0.1111
260,COOL,0.500,14,0.4979,0.3687,0.1117
270,COOL,0.500,14,0.4979,0.3681,0.1115
280,COOL,0.500,14,0.4991,0.3675,0.1114
290,COOL,0.500,14,0.4961,0.3687,0.1117
300,COOL,0.500,14,0.4973,0.3672,0.1113
310,COOL,0.500,14,0.4973,0.3672,0.1113
320,COOL,0.500,14,0.4985,0.3672,0.1113
330,COOL,0.500,14,0.4979,0.3678,0.1115
340,COOL,0.500,14,0.4967,0.3672,0.1113
351,COOL,0.500,14,0.4973,0.3669,0.1112
360,COOL,0.500,14,0.4991,0.3684,0.1116
370,COOL,0.500,14,0.4985,0.3678,0.1115
380,COOL,0.500,14,0.4985,0.3678,0.1115
390,COOL,0.500,14,0.4973,0.3678,0.1115
400,COOL,0.500,14,0.4979,0.3678,0.1115
410,COOL,0.500,14,0.4985,0.3684,0.1116
420,COOL,0.500,14,0.4979,0.3669,0.1112
430,COOL,0.500,14,0.4973,0.3684,0.1116
440,COOL,0.500,14,0.4973,0.3681,0.1115
450,COOL,0.500,14,0.4979,0.3681,0.1115
460,COOL,0.500,14,0.4967,0.3684,0.1116
470,COOL,0.500,14,0.4973,0.3675,0.1114
480,COOL,0.500,14,0.4985,0.3681,0.1115
490,COOL,0.500,14,0.4985,0.3675,0.1114
500,COOL,0.500,14,0.4985,0.3666,0.1111
510,COOL,0.500,14,0.4979,0.3672,0.1113
521,COOL,0.500,14,0.4973,0.3672,0.1113
530,COOL,0.500,14,0.4985,0.3693,0.1119
540,COOL,0.500,14,0.4985,0.3693,0.1119
550,COOL,0.500,14,0.4991,0.3681,0.1115
560,COOL,0.500,14,0.4979,0.3681,0.1115
570,COOL,0.500,14,0.4985,0.3687,0.1117
580,COOL,0.500,14,0.4979,0.3684,0.1116
590,COOL,0.500,14,0.4991,0.3678,0.1115
600,COOL,0.500,14,0.4985,0.3681,0.1115
610,COOL,0.500,14,0.4979,0.3672,0.1113
620,COOL,0.500,14,0.4985,0.3687,0.1117
630,COOL,0.500,14,0.4979,0.3684,0.1116
640,COOL,0.500,14,0.4985,0.3690,0.1118
651,COOL,0.500,14,0.4991,0.3681,0.1115
660,COOL,0.500,14,0.4973,0.3675,0.1114
670,COOL,0.500,14,0.4979,0.3681,0.1115
680,COOL,0.500,14,0.4967,0.3684,0.1116
691,COOL,0.500,14,0.4979,0.3672,0.1113
700,COOL,0.500,14,0.4979,0.3669,0.1112
710,COOL,0.500,14,0.4979,0.3681,0.1115
720,COOL,0.500,14,0.4979,0.3681,0.1115
730,COOL,0.500,14,0.4973,0.3678,0.1115
740,COOL,0.500,14,0.4979,0.3672,0.1113
750,COOL,0.500,14,0.4979,0.3684,0.1116
760,COOL,0.500,14,0.4973,0.3684,0.1116
770,COOL,0.500,14,0.4967,0.3675,0.1114
780,COOL,0.500,14,0.4973,0.3678,0.1115
790,COOL,0.500,14,0.4979,0.3690,0.1118
800,COOL,0.500,14,0.4979,0.3681,0.1115
810,COOL,0.500,14,0.4967,0.3678,0.1115
821,COOL,0.500,14,0.4973,0.3675,0.1114
830,COOL,0.500,14,0.4991,0.3684,0.1116
840,COOL,0.500,14,0.4973,0.3681,0.1115
850,COOL,0.500,14,0.4979,0.3687,0.1117
861,COOL,0.500,14,0.4985,0.3672,0.1113
870,COOL,0.500,14,0.4973,0.3684,0.1116
880,COOL,0.500,14,0.4985,0.3684,0.1116
890,COOL,0.500,14,0.4973,0.3681,0.1115
900,COOL,0.500,14,0.4979,0.3675,0.1114
910,COOL,0.500,14,0.4985,0.3681,0.1115
920,COOL,0.500,14,0.4985,0.3675,0.1114
930,COOL,0.500,14,0.4985,0.3690,0.1118
940,COOL,0.500,14,0.4979,0.3678,0.1115
950,COOL,0.500,14,0.4985,0.3681,0.1115
960,COOL,0.500,14,0.4979,0.3678,0.1115
970,COOL,0.500,14,0.4979,0.3681,0.1115
980,COOL,0.500,14,0.4973,0.3678,0.1115
991,COOL,0.500,14,0.4973,0.3678,0.1115
1000,COOL,0.500,14,0.4979,0.3681,0.1115
1010,COOL,0.500,14,0.4967,0.3684,0.1116
1020,COOL,0.500,14,0.4991,0.3687,0.1117
1030,COOL,0.500,14,0.4985,0.3690,0.1118
1040,COOL,0.500,14,0.4985,0.3678,0.1115
1050,COOL,0.500,14,0.4979,0.3669,0.1112
1060,COOL,0.500,14,0.4985,0.3678,0.1115
1070,COOL,0.500,14,0.4991,0.3678,0.1115
1080,COOL,0.500,14,0.4985,0.3687,0.1117
1090,COOL,0.500,14,0.4991,0.3672,0.1113
1100,COOL,0.500,14,0.4979,0.3672,0.1113
1110,COOL,0.500,14,0.4998,0.3678,0.1115
1120,COOL,0.500,14,0.4973,0.3678,0.1115
1130,COOL,0.500,14,0.4985,0.3687,0.1117
1140,COOL,0.500,14,0.4985,0.3678,0.1115
1150,COOL,0.500,14,0.4985,0.3681,0.1115
1161,COOL,0.500,14,0.4979,0.3675,0.1114
1170,COOL,0.500,14,0.4985,0.3672,0.1113
1180,COOL,0.500,14,0.4985,0.3687,0.1117
1190,COOL,0.500,14,0.4985,0.3669,0.1112
1200,COOL,0.500,14,0.4985,0.3675,0.1114
1210,COOL,0.500,14,0.4985,0.3678,0.1115
1220,COOL,0.500,14,0.4967,0.3675,0.1114
1230,COOL,0.500,14,0.4991,0.3672,0.1113
1240,COOL,0.500,14,0.4979,0.3687,0.1117
1250,COOL,0.500,14,0.4973,0.3678,0.1115
1260,COOL,0.500,14,0.4985,0.3681,0.1115
1270,COOL,0.500,14,0.4985,0.3696,0.1120
1280,COOL,0.500,14,0.4985,0.3684,0.1116
1291,COOL,0.500,14,0.4985,0.3693,0.1119
1300,COOL,0.500,14,0.4985,0.3690,0.1118
1310,COOL,0.500,14,0.4973,0.3681,0.1115
1320,COOL,0.500,14,0.4979,0.3672,0.1113
1331,COOL,0.500,14,0.4985,0.3681,0.1115
1340,COOL,0.500,14,0.4991,0.3681,0.1115
1350,COOL,0.500,14,0.4985,0.3669,0.1112
1360,COOL,0.500,14,0.4991,0.3693,0.1119
1370,COOL,0.500,14,0.4991,0.3690,0.1118
1380,COOL,0.500,14,0.4979,0.3687,0.1117
1390,COOL,0.500,14,0.4991,0.3681,0.1115
1400,COOL,0.500,14,0.4979,0.3678,0.1115
1410,COOL,0.500,14,0.4985,0.3690,0.1118
1420,COOL,0.500,14,0.4979,0.3681,0.1115
1430,COOL,0.500,14,0.4979,0.3684,0.1116
1440,COOL,0.500,14,0.4979,0.3675,0.1114
1450,COOL,0.500,14,0.4985,0.3672,0.1113
1461,COOL,0.500,14,0.4991,0.3693,0.1119
1470,COOL,0.500,14,0.4991,0.3693,0.1119
1480,COOL,0.500,14,0.4985,0.3675,0.1114
1490,COOL,0.500,14,0.4991,0.3687,0.1117
1501,COOL,0.500,14,0.4985,0.3693,0.1119
1510,COOL,0.500,14,0.4973,0.3678,0.1115
1520,COOL,0.500,14,0.4985,0.3681,0.1115
1530,COOL,0.500,14,0.4985,0.3687,0.1117
1540,COOL,0.500,14,0.4985,0.3681,0.1115
1550,COOL,0.500,14,0.4979,0.3684,0.1116
1560,COOL,0.500,14,0.4979,0.3678,0.1115
1570,COOL,0.500,14,0.4998,0.3693,0.1119
1580,COOL,0.500,14,0.4985,0.3687,0.1117
1590,COOL,0.500,14,0.4985,0.3678,0.1115
1600,COOL,0.500,14,0.4985,0.3687,0.1117
1610,COOL,0.500,14,0.4979,0.3681,0.1115
1620,COOL,0.500,14,0.4991,0.3687,0.1117
1631,COOL,0.500,14,0.4979,0.3681,0.1115
